Date,Open,High,Low,Close,Adj Close,Volume
2012-06-18,1075.170044,1142.369995,1075.170044,1075.170044,1070.199585,61864204
2012-06-19,1117.170044,1117.170044,1075.170044,1117.170044,1112.005493,36401598
2012-06-20,1167.569946,1175.969971,1117.170044,1167.569946,1162.172363,67271496
2012-06-21,1133.969971,1167.569946,1125.569946,1133.969971,1128.727661,36831372
2012-06-22,1125.569946,1125.569946,1100.369995,1125.569946,1120.366455,25004260
2012-06-25,1125.569946,1125.569946,1108.770020,1117.170044,1112.005493,14417063
2012-06-26,1117.170044,1167.569946,1108.770020,1159.170044,1153.811279,41865439
2012-06-27,1159.170044,1192.770020,1167.569946,1184.369995,1178.894775,52991936
2012-06-28,1125.569946,1125.569946,1100.369995,1108.770020,1103.644287,41975561
2012-06-29,1108.770020,1125.569946,1100.369995,1125.569946,1120.366455,20329726
2012-07-02,1142.369995,1159.170044,1125.569946,1142.369995,1137.088867,34468211
2012-07-03,1150.770020,1159.170044,1142.369995,1150.770020,1145.450073,16840940
2012-07-04,1192.770020,1201.170044,1142.369995,1192.770020,1187.255859,67977468
2012-07-05,1175.969971,1192.770020,1159.170044,1175.969971,1170.533569,15995083
2012-07-06,1167.569946,1175.969971,1159.170044,1167.569946,1162.172363,7862716
2012-07-09,1125.569946,1159.170044,1125.569946,1125.569946,1120.366455,15483760
2012-07-10,1150.770020,1150.770020,1125.569946,1150.770020,1145.450073,9382996
2012-07-11,1133.969971,1150.770020,1125.569946,1133.969971,1128.727661,9565739
2012-07-12,1117.170044,1133.969971,1108.770020,1117.170044,1112.005493,10647912
2012-07-13,1125.569946,1133.969971,1108.770020,1125.569946,1120.366455,5770992
2012-07-16,1117.170044,1150.770020,1117.170044,1117.170044,1112.005493,9663361
2012-07-17,1142.369995,1150.770020,1125.569946,1142.369995,1137.088867,11117568
2012-07-18,1142.369995,1142.369995,1125.569946,1142.369995,1137.088867,11881279
2012-07-19,1150.770020,1150.770020,1133.969971,1150.770020,1145.450073,10198495
2012-07-20,1133.969971,1150.770020,1125.569946,1133.969971,1128.727661,11945567
2012-07-23,1091.969971,1125.569946,1083.569946,1091.969971,1086.921875,12541417
2012-07-24,1066.770020,1108.770020,1066.770020,1066.770020,1061.838379,13559302
2012-07-25,1066.770020,1066.770020,1049.969971,1066.770020,1061.838379,10850299
2012-07-26,1066.770020,1083.569946,1058.369995,1066.770020,1061.838379,5547176
2012-07-27,1075.170044,1091.969971,1075.170044,1075.170044,1070.199585,10172304
2012-07-30,1091.969971,1091.969971,1075.170044,1091.969971,1086.921875,7890098
2012-07-31,1075.170044,1091.969971,1066.770020,1075.170044,1070.199585,8269870
2012-08-01,1049.969971,1083.569946,1033.170044,1049.969971,1045.115967,18650513
2012-08-02,1024.770020,1049.969971,1016.369995,1024.770020,1020.032593,8040102
2012-08-03,1033.170044,1041.569946,1007.969971,1033.170044,1028.393799,5457888
2012-08-06,1058.369995,1066.770020,1041.569946,1058.369995,1053.477173,7509730
2012-08-07,1058.369995,1075.170044,1041.569946,1058.369995,1053.477173,4545958
2012-08-08,1049.969971,1066.770020,1049.969971,1049.969971,1045.115967,2993534
2012-08-09,1041.569946,1058.369995,1041.569946,1041.569946,1036.754883,2637572
2012-08-10,1033.170044,1049.969971,1016.369995,1033.170044,1028.393799,8246655
2012-08-13,1016.369995,1033.170044,1016.369995,1016.369995,1011.671387,6057309
2012-08-14,1024.770020,1024.770020,1007.969971,1024.770020,1020.032593,3484619
2012-08-15,1016.369995,1033.170044,1016.369995,1016.369995,1011.671387,3509620
2012-08-16,1033.170044,1033.170044,1016.369995,1033.170044,1028.393799,4607865
2012-08-23,1058.369995,1075.170044,1033.170044,1058.369995,1053.477173,10209805
2012-08-24,1049.969971,1066.770020,1049.969971,1049.969971,1045.115967,3217945
2012-08-27,1075.170044,1083.569946,1049.969971,1075.170044,1070.199585,5629917
2012-08-28,1066.770020,1100.369995,1058.369995,1066.770020,1061.838379,17265952
2012-08-29,1049.969971,1066.770020,1033.170044,1049.969971,1045.115967,5043591
2012-08-30,1033.170044,1041.569946,1016.369995,1033.170044,1028.393799,7710926
2012-08-31,1041.569946,1049.969971,1016.369995,1041.569946,1036.754883,8730002
2012-09-03,1049.969971,1049.969971,1033.170044,1049.969971,1045.115967,6116835
2012-09-04,1041.569946,1049.969971,1033.170044,1041.569946,1036.754883,8062126
2012-09-05,1041.569946,1049.969971,1024.770020,1041.569946,1036.754883,8916317
